NCT ID,Asset,Title,Lead Sponsor,Acronym,Overall Status,Enrollment,Start Date,Conditions,Interventions,Primary Outcome(s),Secondary Outcome(s),Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
NCT01636492,Bitopertin,"Single Oral Ascending Dose Study of Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO4917838 in Healthy Male Volunteers.",Hoffmann-La Roche,Unknown,COMPLETED,71,2005-11,Healthy Volunteer,"bitopertin, placebo",Safety: Incidence of adverse events,"Pharmacokinetics: Area under the concentration-time curve, Pharmacokinetics: Urine concentrations drug/metabolites",Christchurch - New Zealand,2006-08,2012-07-10,2016-11-02,INTERVENTIONAL,PHASE1
NCT05308472,Bitopertin,"(AURORA) A Randomized, Double-blind, Placebo-Controlled Study of Bitopertin to Evaluate the Safety, Tolerability, Efficacy, and Protoporphyrin IX (PPIX) Concentrations in Participants With Erythropoietic Protoporphyria (EPP)","Disc Medicine, Inc",Unknown,ACTIVE_NOT_RECRUITING,75,2022-10-31,Erythropoietic Protoporphyria,"DISC-1459, DISC-1459, Placebo, DISC-1459",Percent change from baseline in whole blood metal-free PPIX levels,"Total hours of sunlight exposure to skin on days with no pain from 1000 to 1800 hours (10:00am to 6:00pm), Daily sunlight exposure time (minutes) to first prodromal symptom (burning, tingling, itching, or stinging) associated with sunlight exposure between 1 hour post-sunrise and 1 hour pre-sunset, Pain intensity of phototoxic reactions according to a Likert scale (0-10), Incidence of treatment-emergent adverse events, Erythrocyte total PPIX concentrations, Plasma total PPIX concentrations, Whole blood total PPIX concentrations, Plasma bitopertin concentrations","Birmingham - United States, San Francisco - United States, Miami - United States, Boston - United States, New York - United States, Winston-Salem - United States, Philadelphia - United States, Galveston - United States, Seattle - United States",2024-02-20,2022-04-04,2024-04-15,INTERVENTIONAL,PHASE2
NCT01192880,Bitopertin,"A Phase III, Multi-Center, Randomized, 24 Week, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate Efficacy and Safety of RO4917838 in Stable Patients With Persistent, Predominant Negative Symptoms of Schizophrenia Treated With Antipsychotics Followed by a 28 Week, Double-Blind Treatment Period",Hoffmann-La Roche,Unknown,COMPLETED,625,2010-11,Schizophrenia,"Placebo, Bitopertin, Antipsychotics","Mean Change From Baseline in the Positive and Negative Syndrome Scale (PANSS) Negative Symptom Factor Score at Week 24, Percentage of Participants with Adverse Events","Mean Change from Baseline in the Personal and Social Performance (PSP) Total Score at Week 24, Mean Change from Baseline in the PANSS Total Score at Week 24, Mean Change from Baseline in the PANSS Factor Scores at Week 24, Mean Change from Baseline in the PANSS Subscale Scores at Week 24, Percentage of Participants With Response, as Assessed by PANSS Negative Symptom Factor Score, Percentage of Participants with Response, as Assessed by CGI-I Overall and Negative Symptoms Rating Score, Percentage of Participants with Both At Least 20% Improvement from Baseline in the PANSS Negative Symptom Factor Score and with a CGI-I Negative Symptoms Rating of Either Much or Very Much Improvement, Mean Change from Baseline in the CGI-S Overall and Negative Symptoms Rating Score","Costa Mesa - United States, Escondido - United States, Granada Hills - United States, La Jolla - United States, Oceanside - United States, San Diego - United States, Torrance - United States, Lauderhill - United States, Miami - United States, Orange City - United States, Plantation - United States, Atlanta - United States, Indianapolis - United States, Glen Burnie - United States, Flowood - United States, Las Vegas - United States, Toms River - United States, Buffalo - United States, New York - United States, Rochester - United States, Durham - United States, Norristown - United States, Scranton - United States, Austin - United States, Irving - United States, Salt Lake City - United States, Kirkland - United States, Bourgas - Bulgaria, Kazanlak - Bulgaria, Novi Iskar - Bulgaria, Pazardzhik - Bulgaria, Plovdiv - Bulgaria, Radnevo - Bulgaria, Rousse - Bulgaria, Sofia - Bulgaria, Baoding - China, Beijing - China, Beijing - China, Beijing - China, Changsha - China, Chengdu - China, GuangzhouGuangdong - China, Hangzhou - China, Hangzhou - China, Kunming - China, Nanjing - China, Shanghai - China, Shanghai - China, Wuhan - China, Wuxi - China, Xi'an - China, Xi'an - China, Xi'an - China, Brno - Czech Republic, Liberec - Czech Republic, Melnik - Czech Republic, Plzen - Czech Republic, Praha 10 - Czech Republic, Praha 6 - Czech Republic, Praha 8 - Bohnice - Czech Republic, Sternberk - Czech Republic, Napoli - Italy, Brescia - Italy, Milano - Italy, Milano - Italy, Torino - Italy, Bari - Italy, Pisa - Italy, Padova - Italy, Chiba - Japan, Funabashi-shi - Japan, Gunma - Japan, Hiroshima-shi - Japan, Hokkaido - Japan, Kanzaki-gun - Japan, Kita-Ku - Japan, Kitakyushu-shi - Japan, Kochi-shi - Japan, Koshi-shi - Japan, Kumamoto-shi - Japan, Kurayoshi-shi - Japan, Nagoya-Shi - Japan, Omuta-shi - Japan, Sakai-shi - Japan, Sapporo-shi - Japan, Sapporo-shi - Japan, Sendai-shi - Japan, Shirakawa-shi - Japan, Tokyo - Japan, Tokyo - Japan, Toyama-shi - Japan, Toyoake-shi - Japan, Yokohama-shi - Japan, Yokohama-shi - Japan, Yokohama-shi - Japan, Kemerovo - Russian Federation, Lipetsk - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Sartatov - Russian Federation, St. Petersburg - Russian Federation, St. Petersburg - Russian Federation, Talagi - Russian Federation",2014-07,2010-09-01,2017-02-15,INTERVENTIONAL,PHASE3
NCT05883748,Bitopertin,"An Open-Label, Long-Term Study to Investigate the Safety, Tolerability, and Efficacy of DISC-1459 (Bitopertin) in Participants With Erythropoietic Protoporphyria (EPP)","Disc Medicine, Inc",Unknown,ENROLLING_BY_INVITATION,200,2023-08-31,Erythropoietic Protoporphyria,"DISC-1459, DISC-1459","Incidence of treatment-emergent adverse events, Incidence of clinically abnormal vital signs, Incidence of clinically abnormal physical exam, Incidence of abnormal laboratory test results, Assessment of Patient Health Questionnaire (PHQ-8), Assessment of C-SSRS","Change from baseline in daily daylight tolerance, as assessed by total hours spent in the sunlight without pain and average time to first prodromal syndrome in sunlight, Change from baseline in whole blood metal-free PPIX levels, Plasma Bitopertin Concentrations","Birmingham - United States, San Francisco - United States, Miami - United States, Boston - United States, New York - United States, Winston-Salem - United States, Philadelphia - United States, Galveston - United States, Seattle - United States, Camperdown - Australia, Parkville - Australia",2028-06,2023-06-01,2024-02-22,INTERVENTIONAL,"PHASE2, PHASE3"
NCT02019290,Bitopertin,"A SINGLE CENTER, OPEN LABEL, FIXED SEQUENCE STUDY TO INVESTIGATE THE EFFECT OF MULTIPLE DOSE BITOPERTIN ON SINGLE DOSE PHARMACOKINETICS OF MIDAZOLAM IN HEALTHY VOLUNTEERS",Hoffmann-La Roche,Unknown,WITHDRAWN,0,2014-02-10,Healthy Volunteer,"Midazolam, bitopertin",Change in plasma area under the concentration-time curve (AUC) of midazolam after bitopertin administration,"Change in 1'-hydroxymidazolam plasma AUC after bitopertin administration, Incidence of adverse events",No locations listed,2014-03-31,2013-12-24,2017-10-25,INTERVENTIONAL,PHASE1
NCT05828108,Bitopertin,"A Phase I/II, Intra-Patient Dose-Escalation Study of the Selective GlyT1 Inhibitor, Bitopertin for Steroid-Refractory Diamond-Blackfan Anemia.","National Heart, Lung, and Blood Institute (NHLBI)",Unknown,RECRUITING,30,2023-07-25,Steroid-refractory Diamond-Blackfan Anemia (DBA),Bitopertin,Rate of response,"Rate of relapse, Long-term safety of drug, Tolerability of drug, Safety of drug, Clonal evolution on bitopertin, Rate of overall survival, Health-related quality of life (HRQL)",Bethesda - United States,2029-05-01,2023-04-25,2024-04-10,INTERVENTIONAL,"PHASE1, PHASE2"
NCT03271541,Bitopertin,"A Phase II, Single Arm, Multicenter, Proof-of-Mechanism Study to Investigate the Safety, Tolerability, Efficacy, Pharmacokinetics, and Pharmacodynamics of Bitopertin (RO4917838) in Adults With Non-Transfusion-Dependent Βeta-Thalassemia",Hoffmann-La Roche,Unknown,COMPLETED,12,2017-10-26,Beta-Thalassemia,Bitopertin,"Safety Outcome: Percentage of Participants with Adverse Events (AEs) - Part 1 only, Efficacy Outcome: Change in Total Hemoglobin (Hb) Level from Baseline to End of 16-Week Treatment Period in Part 1, Long-term Safety Outcome : Percentage of Participants with Adverse Events (AEs) - Part 2 only","Apparent Clearance of Bitopertin, Volume of Distribution of Bitopertin, Area Under the Concentration-Time Curve (AUC) of Bitopertin within a Dosing Interval, Minimum Observed Concentration (Cmin) of Bitopertin, Maximum Observed Concentration (Cmax) of Bitopertin, Apparent Elimination Half-Life of Bitopertin, Accumulation Ratio of Bitopertin, Change from Baseline in Absolute Reticulocyte Count, Change from Baseline in Serum Lactate Dehydrogenase Level, Change from Baseline in Serum Bilirubin Level, Change from Baseline in Absolute Red Blood Cell Count, Change in Total Hb Level from Baseline to the End of the Treatment Period in Part 2","Genova - Italy, Milano - Italy, Baabda - Lebanon, Bangkok Noi - Thailand",2018-06-29,2017-09-05,2018-10-05,INTERVENTIONAL,PHASE2
NCT01192906,Bitopertin,"A Phase III, Multi-center, Randomized, 24 Week, Double-blind, Parallel-group, Placebo-controlled Study to Evaluate Efficacy and Safety of RO4917838 in Stable Patients With Persistent, Predominant Negative Symptoms of Schizophrenia Treated With Antipsychotics Followed by a 28 Week, Double-blind Treatment Period.",Hoffmann-La Roche,Unknown,COMPLETED,624,2010-12,Schizophrenia,"Placebo, bitopertin [RO4917838], bitopertin [RO4917838]","Efficacy (PANSS negative symptoms factor score), Safety (incidence of adverse events)",No secondary outcomes listed,"Carson - United States, Oceanside - United States, San Diego - United States, San Diego - United States, Hartford - United States, Norwalk - United States, North Miami - United States, Atlanta - United States, Chicago - United States, Hoffman Estates - United States, Joliet - United States, Lake Charles - United States, Shreveport - United States, St. Louis - United States, Omahac - United States, Cedarhurst - United States, Jamaica - United States, Rochester - United States, Allentown - United States, Norristown - United States, Philadelphia - United States, Salvador - Brazil, Goiania - Brazil, Belo Horizonte - Brazil, Curitiba - Brazil, Rio de Janeiro - Brazil, Pelotas - Brazil, Porto Alegre - Brazil, Sao Paulo - Brazil, Sao Paulo - Brazil, Calgary - Canada, Medicine Hat - Canada, Vancouver - Canada, Victoria - Canada, Halifax - Canada, Burlington - Canada, Hamilton - Canada, Mississauga - Canada, Montreal - Canada, Montreal - Canada, Verdun - Canada, San Miguel - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Valdivia - Chile, Berlin - Germany, Bochum - Germany, Freiburg - Germany, Hamburg - Germany, Koeln - Germany, Muenchen - Germany, München - Germany, Nürnberg - Germany, Daugovpils - Latvia, Jelgava - Latvia, Liepaja - Latvia, Kaunas - Lithuania, Kaunas - Lithuania, Kaunas - Lithuania, Kaunas - Lithuania, Silute - Lithuania, Vilnius - Lithuania, Vilnius - Lithuania, Assen - Netherlands, Groningen - Netherlands, Groningen - Netherlands, Choroszcz - Poland, Kielce - Poland, Lublin - Poland, Lublin - Poland, Lublin - Poland, Piekary Slaskie - Poland, Skorzewo - Poland, Tuszyn - Poland, Warszawa - Poland, Bojnice - Slovakia, Bratislava - Slovakia, Bratislava - Slovakia, Rimavska Sobota - Slovakia, Svidnik - Slovakia, Oviedo - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Salamanca - Spain, Zamora - Spain, Hualian Town - Taiwan, Kaohsiung - Taiwan, Taichung - Taiwan, Tainan County - Taiwan, Tainan - Taiwan, Taipei - Taiwan, Taipei - Taiwan, Ankara - Turkey, Diyarbakir - Turkey, Gaziantep - Turkey, Istanbul - Turkey, Istanbul - Turkey, Manisa - Turkey, Dnipropetrovsk - Ukraine, Donetsk - Ukraine, Glevakha Kyviv region - Ukraine, Kharkiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Lviv - Ukraine, Odessa - Ukraine, Vinnytsya - Ukraine",2014-07,2010-09-01,2016-11-02,INTERVENTIONAL,PHASE3
NCT01234779,Bitopertin,"A Phase II, Multi-center, Randomized, 4-week, Double-blind, Parallel Group, Placebo and Active-controlled Trial of the Safety and Efficacy of RO4917838 vs. Placebo in Patients With an Acute Exacerbation of Schizophrenia",Hoffmann-La Roche,Unknown,COMPLETED,301,2011-02,Schizophrenia,"bitopertin [RO4917838], bitopertin [RO4917838], olanzapine, placebo","Change in Positive and Negative Syndrome Scale (PANSS) total score, Safety: Incidence adverse events","Clinical response, defined as at least 30% or 50% improvement from baseline PANSS total score, Change in symptomatology as measured by the PANSS factor and subscale scores, Global improvement as measured by the Clinical Global Impressions-Severity (CGI-S) scale, Global improvement as measured by the Clinical Global Impressions-Change (CGI-C) rating scale, Observable behavioural change as determined by the Nurses' Observation Scale For Inpatient Evaluation (NOSIE), Time to readiness for discharge from inpatient unit as assessed by the Readiness For Hospital Discharge Questionnaire (RDQ)","Little Rock - United States, Cerritos - United States, Oceanside - United States, Pico Rivera - United States, San Diego - United States, Lauderhill - United States, North Miami - United States, Atlanta - United States, Lake Charles - United States, Flowood - United States, St. Louis - United States, Willingboro - United States, Holliswood - United States, New York - United States, Cincinnati - United States, Philadelphia - United States, Charlesston - United States, Austin - United States, Irving - United States, Arad - Romania, Bucuresti - Romania, Bucuresti - Romania, Bucuresti - Romania, Foscani - Romania, Oradea - Romania, Targoviste - Romania, Gatchina - Russian Federation, Moscow - Russian Federation, Petrozavodsk - Russian Federation, St Petersburg - Russian Federation, St Petersburg - Russian Federation, St Petersburg - Russian Federation, St Petersburg - Russian Federation, St. Petersburg - Russian Federation, Talagi - Russian Federation, Bojnice - Slovakia, Bratislava - Slovakia, Liptovsky Mikulas - Slovakia, Michalovce - Slovakia, Dnipropetrovsk - Ukraine, Donetsk - Ukraine, Kherson,Vil. Stepanivka - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Poltava - Ukraine, Vinnytsya - Ukraine",2012-09,2010-11-04,2016-11-02,INTERVENTIONAL,PHASE2
NCT01235559,Bitopertin,"Phase III, Multi-center, Randomized, 12-week, Double-blind, Parallel-group, Placebo-controlled Study to Evaluate the Efficacy and Safety of RO4917838 in Patients With Sub-optimally Controlled Symptoms of Schizophrenia Treated With Antipsychotics Followed by a 40-week Double-blind, Parallel-group, Placebo-controlled Treatment Period.",Hoffmann-La Roche,Unknown,COMPLETED,604,2010-12,Schizophrenia,"Placebo, bitopertin [RO4917838] level 1, bitopertin [RO4917838] level 2","Positive symptoms factor score assessed by Positive and Negative Syndrome Scale (PANSS), Safety (incidence of adverse events)","Symptom domains of schizophrenia using Positive and Negative Syndrome Scale (PANSS), Disease improvement on Clinical Global Impression - Improvement (CGI-I) symptoms scale, Disease severity on Clinical Global Impression - Severity (CGI-S) symptoms scale, Safety (incidence of adverse events)","Costa Mesa - United States, Escondido - United States, Granada Hills - United States, La Jolla - United States, Oceanside - United States, San Diego - United States, Torrance - United States, Lauderhill - United States, Orange City - United States, Plantation - United States, Atlanta - United States, Indianapolis - United States, Flowood - United States, Las Vegas - United States, Buffalo - United States, New York - United States, Rochester - United States, Durham - United States, Scranton - United States, Austin - United States, Irving - United States, Salt Lake City - United States, Bourgas - Bulgaria, Kazanlak - Bulgaria, Novi Iskar - Bulgaria, Pazardzhik - Bulgaria, Plovdiv - Bulgaria, Radnevo - Bulgaria, Rousse - Bulgaria, Sofia - Bulgaria, Baoding - China, Beijing - China, Beijing - China, Beijing - China, Changsha - China, Chengdu - China, GuangzhouGuangdong - China, Hangzhou - China, Kunming - China, Nanjing - China, Shanghai - China, Shanghai - China, Wuhan - China, Wuxi - China, Xi'an - China, Xi'an - China, Brno - Czech Republic, Liberec - Czech Republic, Melnik - Czech Republic, Plzen - Czech Republic, Praha 10 - Czech Republic, Praha 6 - Czech Republic, Praha 8 - Bohnice - Czech Republic, Sternberk - Czech Republic, Napoli - Italy, Brescia - Italy, Milano - Italy, Milano - Italy, Torino - Italy, Bari - Italy, Pisa - Italy, Pisa - Italy, Padova - Italy, Chiba - Japan, Funabashi-shi - Japan, Gunma - Japan, Hiroshima-shi - Japan, Hokkaido - Japan, Kanzaki-gun - Japan, Kita-Ku - Japan, Kitakyushu-shi - Japan, Kochi-shi - Japan, Koshi-shi - Japan, Kumamoto-shi - Japan, Kurayoshi-shi - Japan, Nagoya-Shi - Japan, Omuta-shi - Japan, Sakai-shi - Japan, Sapporo-shi - Japan, Sapporo-shi - Japan, Sendai-shi - Japan, Shirakawa-shi - Japan, Tokyo - Japan, Tokyo - Japan, Toyama-shi - Japan, Toyoake-shi - Japan, Yokohama-shi - Japan, Yokohama-shi - Japan, Yokohama-shi - Japan, St. Petersburg - Russian Federation",2015-03,2010-11-05,2016-11-02,INTERVENTIONAL,PHASE3
